threshold,total number output,TP,FP,FN,precision,recall
0.05,36,7,29,19,0.194444444,0.269230769
0.1,75,13,62,13,0.173333333,0.5
0.15,111,18,93,8,0.162162162,0.692307692
0.2,147,20,127,6,0.136054422,0.769230769
0.25,188,21,167,5,0.111702128,0.807692308
0.3,221,25,196,1,0.113122172,0.961538462
0.35,257,26,231,0,0.101167315,1
0.4,293,26,267,0,0.088737201,1
0.45,333,26,307,0,0.078078078,1
0.5,369,26,343,0,0.070460705,1
0.55,407,26,381,0,0.063882064,1
0.6,442,26,416,0,0.058823529,1
0.65,476,26,450,0,0.054621849,1
0.7,512,26,486,0,0.05078125,1
0.75,535,26,530,0,0.04676259,1
0.8,588,26,562,0,0.044217687,1
0.85,626,26,600,0,0.041533546,1
0.9,664,26,638,0,0.039156627,1
0.95,699,26,673,0,0.037195994,1
1,722,26,696,0,0.03601108,1
1.05,741,26,715,0,0.035087719,1
1.1,759,26,733,0,0.034255599,1
1.15,779,26,753,0,0.033376123,1
1.2,798,26,772,0,0.032581454,1
1.25,816,26,790,0,0.031862745,1
1.3,833,26,807,0,0.031212485,1
1.35,852,26,826,0,0.030516432,1
1.4,872,26,846,0,0.029816514,1
1.45,887,26,861,0,0.029312289,1
1.5,910,26,884,0,0.028571429,1
1.55,924,26,898,0,0.028138528,1
1.6,945,26,919,0,0.027513228,1
1.65,959,26,933,0,0.027111575,1
1.7,984,26,958,0,0.026422764,1
1.75,999,26,973,0,0.026026026,1
1.8,1018,26,992,0,0.025540275,1
1.85,1037,26,1011,0,0.025072324,1
1.9,1056,26,1030,0,0.024621212,1
1.95,1073,26,1047,0,0.024231128,1